team_name,abbreviation,city,state,zip,type,lat,long,region
 Texas Quidditch,texas-quidditch-1,Austin,TX,78712,College,30.2858,-97.7349,6
 Texas Cavalry,cavalry-1,Austin,TX,78751,Adult Community,30.3093,-97.7242,6
 Texas A&M Quidditch,texas-a-m-quidditch,College Station,TX,77840,College,30.6045,-96.3123,6
 Team-Who-Must-Not-Be-Named,the-dark-team,Hamilton,NJ,8619,Adult Community,40.242,-74.6904,2
 TC FROST,frost,Minneapolis,MN,55406,Adult Community,44.9384,-93.2214,3
 Syracuse Snare Quidditch Club,syracuse-snare,Syracuse ,NY,13244,College,43.0394,-76.1361,1
 SUNY Geneseo,geneseo,Geneseo,NY,14454,College,42.7938,-77.7996,1
 Sun Devil Quidditch,sun-devils,Tempe,AZ,85281,College,33.4227,-111.926,4
 Stony Brook Quidditch,stony-brook,Stony Brook,NY,11794,College,40.9141,-73.1255,1
 Stockton University Ospreys,ospreys,Galloway,NJ,8205,College,39.4283,-74.4961,2
 Stanford Quidditch,stanford,Stanford,CA,94309,College,37.4242,-122.165,4
 Southern Illinois University Quidditch,saluki-quidditch,Carbondale,IL,62901,College,37.72,-89.2158,3
 South Bay Blazers,the-blazers-1,San Jose ,CA,95112,Adult Community,37.3414,-121.88,4
 Skyfighters Quidditch Club,skyfighters,Newark,CA,94560,Adult Community,37.5368,-122.032,4
 Skidmore Quidditch,skidmore-quidditch,Saratoga Springs,NY,12866,College,43.0801,-73.7806,1
 SIUE Quidditch Club,siue-quidditch,Edwardsville,IL,62026,College,38.8114,-89.9531,3
 Silicon Valley Vipers,vipers,Mountain View,CA,94041,Adult Community,37.3893,-122.078,4
 Silicon Valley Skrewts,skrewts-1,San Francisco,CA,94122,Adult Community,37.7593,-122.484,4
 SHSU Quidditch,sam-houston,Huntsville,TX,77340,College,30.7344,-95.5342,6
 San Marcos Sharknados,sharknados-4,San Marcos,TX,78666,Adult Community,29.8754,-97.9404,6
 San Jose State University Spartans,sjsu,San Jose,CA,95112,College,37.3414,-121.88,4
 Rutgers University Quidditch,rutgers-1,New Brunswick,NJ,8901,College,40.4891,-74.4482,2
 RPI Quidditch,rpi,Troy,NY,12180,College,42.7287,-73.6683,1
 Rochester United,rochester-united,Rochester,NY,14623,Adult Community,43.0834,-77.6344,1
 RIT Dark Marks,dark-marks,Rochester,NY,14623,College,43.0834,-77.6344,1
 Richmond Ravens,ravens,Richmond,VA,23219,Adult Community,37.5463,-77.4378,2
 Richmond Quidditch,richmond-quidditch,Richmond,VA,23173,College,37.5737,-77.5407,2
 Raisbeck Aviation High School Fawkes Quidditch,fawkes,Burien,WA,98148,High School,47.4502,-122.326,12
 Rain City Raptors,raptors-1,Bellevue,WA,98004,Adult Community,47.6199,-122.207,12
 Quidditch Club of Pittsburgh,qc-pitt,Pittsburgh,PA,15213,College,40.4437,-79.9544,2
 Quidditch Club Boston,q-c-boston-1,Somerville,MA,2144,Adult Community,42.4003,-71.1221,1
 Quidditch Club at the University of Tennessee Knoxville,tennessee,Knoxville,TN,37916,College,35.9556,-83.9336,5
 Purdue Intercollegiate Quidditch Club ,purdue-quidditch-1,West Lafayette,IN,47906,College,40.444,-86.9237,13
 Provo Quidditch,provo,Provo,UT,84606,Adult Community,40.2347,-111.645,4
 Philadelphia Honey Badgers,philly-honey-badgers,Philadelphia,PA,8535,Adult Community,40.215,-74.4404,2
 Penn State University Nittany Lions,penn-state-nittany-lions,University Park,PA,16802,College,40.8019,-77.8567,2
 Osos De Muerte,osos-1,Waco,TX,76706,College,31.5171,-97.1198,6
 Oklahoma State University,oklahoma-state,Stillwater,OK,74075,College,36.1396,-97.063,6
 Ohio University Quidditch Club,ohio-university,Athens,OH,45701,College,39.3178,-82.102,13
 Ohio State Quidditch,osu-quidditch,Columbus,OH,43201,College,39.9952,-83.0047,13
 Northern Arizona University Narwhals,narwhals,Flagstaff,AZ,86001,College,35.1859,-111.662,4
 North Texas Firebolts,firebolts,Denton,TX,76207,Adult Community,33.2404,-97.1649,6
 North Broward Preparatory School Snidgets,nbps-snidgets-1,Coconut Creek,FL,33073,High School,26.2997,-80.181,5
 New York Quidditch Club,new-york-qc,New York,NY,10012,College,40.7255,-73.9983,1
 New York Pigeons,pigeons,New York,NY,10003,College,40.7313,-73.9892,1
 New York Badassilisks,ny-badassilisks,New York,NY,10033,Adult Community,40.8496,-73.9356,1
 Nearly Headless Knights,ucf-quidditch-1,Orlando,FL,32817,College,28.5903,-81.2535,5
 Moscow Manticores at the University of Idaho,moscow-manticores-1,Moscow,ID,83843,College,46.7309,-116.99,12
 Mizzou Quidditch,mizzou,Columbia,MO,65211,College,38.9368,-92.3221,3
 Minnesota Quidditch,minnesota,Minneapolis,MN,55455,College,44.9816,-93.2393,3
 Mile High Quidditch Club,mile-high-qc,Denver,CO,80230,Adult Community,39.7206,-104.899,3
 Michigan State Quidditch,michigan-state-1,East Lansing,MI,48823,College,42.7388,-84.4764,13
 Michigan Quidditch Team,michigan-quidditch,Ann Arbor,MI,48104,College,42.2694,-83.7282,13
 Miami University (OH) Quidditch,miami-quidditch,Oxford,OH,45056,College,39.5038,-84.7385,13
 Maryland Quidditch,maryland,College Park,MD,20740,College,38.9963,-76.9299,2
 Marquette University Quidditch,marquette,Milwaukee,WI,53233,College,43.0407,-87.9357,3
 Macaulay Honors College Marauders,macaulay-marauders,New York,NY,10023,College,40.7764,-73.9827,1
 Lumberjack Quidditch ,sfa,Nacogdoches ,TX,75965,College,31.6889,-94.6358,6
 Loyola University New Orleans ,loyola,New Orleans ,LA,70118,College,29.9504,-90.1236,6
 Loyola University Chicago,loyola-lumos-3,Chicago,IL,60660,College,41.9909,-87.6629,3
 Louisiana State University,lsu-quidditch,Baton Rouge,LA,70803,College,30.4124,-91.1822,6
 Los Angeles Gambits,la-gambits,Torrance,CA,90717,Adult Community,33.7933,-118.317,4
 Lone Star Quidditch Club,lone-star-qc,Austin,TX,78758,Adult Community,30.3764,-97.7078,6
 Lock Haven University Quidditch,lhu-quidditch,Lock Haven,PA,17745,College,41.1425,-77.4436,2
 Lake Erie Elite,lake-erie,Ann Arbor,MI,48104,Adult Community,42.2694,-83.7282,13
 Kansas Quidditch,kansas-quidditch,Lawrence,KS,66049,College,38.9704,-95.2769,3
 Johns Hopkins Quidditch,hopkins-1,Baltimore,MD,21218,College,39.3265,-76.6048,2
 James Madison University Quidditch,madison-marauders,Harrisonburg,VA,22807,College,38.4341,-78.8674,2
 inTENNsity,intennsity,Cookeville ,TN,38501,Adult Community,36.1743,-85.4953,5
 Indiana University Quidditch Club,iu-quidditch-1,Bloomington,IN,47408,College,39.1832,-86.5058,13
 Illinois State University Firebirds,firebirds,Normal,IL,61761,College,40.5124,-88.9883,3
 Houston Cosmos Quidditch Club,houston-cosmos,Houston,TX,77007,Adult Community,29.7736,-95.4034,6
 Hofstra University Flying Dutchmen,hofstra-quidditch,Hempstead,NY,11549,College,40.7139,-73.6003,1
 Harvard Horntails,harvard,Cambridge,MA,2138,College,42.377,-71.1256,1
 Gulf Coast Gumbeaux,gumbeaux,New Orleans,LA,70118,Adult Community,29.9504,-90.1236,6
 Grove City Legion of Broom,grove-city,Grove City,PA,16127,College,41.1607,-80.0841,2
 Grand Valley Quidditch,gv-grindylows,Allendale,MI,49401,College,42.9711,-85.9249,13
 George Mason Club Quidditch,gmu-qc,Fairfax,VA,22030,College,38.8458,-77.3242,2
 Gainesville Siege,siege,Gainesville,FL,32607,Adult Community,29.6456,-82.4033,5
 Flying Panthers Quidditch Club,flying-panthers,Miami,FL,33173,Adult Community,25.6992,-80.3618,5
" ""Floridas Finest""",florida-s-finest,Miami,FL,33135,Adult Community,25.7664,-80.2317,5
 Florida State University,fsu-quidditch-1,Tallahassee,FL,32304,Collegiate,30.4478,-84.3211,5
 Florida Gulf Coast Quidditch,fgcu-quidditch,Fort Myers,FL,33965,College,26.4737,-81.9397,5
 Falcon Warriors Quidditch Club,falcon-warriors,Bowling Green,OH,43402,Adult Community,41.3815,-83.6507,13
 Emerson Community Quidditch,emerson-1,Cambridge,MA,2140,Adult Community,42.3914,-71.1294,1
 Emerald City Admirals,the-admirals,Seattle,WA,98117,Adult Community,47.6873,-122.377,12
 Eastern Michigan Quidditch,emu-quidditch,Ypsilanti,MI,48197,College,42.2325,-83.6336,13
 Duke University Quidditch,duke-quidditch-1,Durham,NC,27708,College,35.9985,-78.9394,2
 District of Columbia Quidditch Club,dc-quidditch,Fairfax,VA,22033,Adult Community,38.8776,-77.3885,2
 DeathRow Quidditch Team,deathrow,Taylor,TX,76574,College,30.5807,-97.4401,6
 CT Cornish Pixies Quidditch,cornish-pixies,East Hampton,CT,6424,Adult Community,41.5761,-72.5093,1
 Crimson Fliers,fliers,Salt Lake City,UT,84108,Adult Community,40.7371,-111.826,4
 Crimson Elite,crimson-elite-1,Salt Lake City,UT,84103,Adult Community,40.7776,-111.875,4
 Creighton Quidditch,creighton-quidditch,Omaha,NE,68178,College,41.2649,-95.9488,3
College of Charleston,charleston-4,Summerville,SC,29483,College,33.028,-80.1739,5
 Chicago United Quidditch Club,chicago-united-1,Port Barrington,IL,60010,Adult Community,42.1614,-88.1383,3
 Central Michigan Quidditch Club,central-centaurs-1,Mt. Pleasant,MI,48858,College,43.6013,-84.7736,13
 Carolina Heat Quidditch Club,carolina-heat,Columbia,SC,29201,Adult Community,34.0004,-81.0334,5
 Carnegie Mellon Quidditch Club,carnegie-mellon,Pittsburgh,PA,15289,College,40.4406,-79.9961,2
 California Dobbys,ca-dobbys,Oakland,CA,94611,Adult Community,37.8282,-122.227,4
 Cal Quidditch,cal,Berkeley,CA,94704,College,37.8664,-122.257,4
 Brandeis Quidditch,brandeis,Waltham,MA,2454,College,42.3888,-71.2426,1
 Bowling Green State University,bg-quidditch,Bowling Green,OH,43402,College,41.3815,-83.6507,13
 Boston University Quidditch,bu,Boston,MA,2215,College,42.3471,-71.1027,1
 Bosnyan Bearsharks,bosny,brooklyn,NY,11206,Adult Community,40.7012,-73.9436,1
 Boise State Abraxans,abraxans,Boise,ID,83725,College,43.605,-116.205,12
 Baylor University,the-bears,Waco,TX,76798,College,31.5446,-97.1192,6
 Ball State Cardinals,ball-state,Muncie,IN,47306,College,40.1927,-85.4102,13
 Austin Quidditch,austin-quidditch-1,Austin,TX,78712-1401,College,30.2858,-97.7349,6
 Arizona State University,arizona-state,Tempe,AZ,85281,College,33.4227,-111.926,4
 Arizona Jackalopes,jackalopes,chandler,AZ,85224,Adult Community,33.3301,-111.863,4
 Appalachian Apparators Quidditch,the-apparators,Boone,NC,28608,Community,36.2167,-81.6747,2
 Anteater Quidditch,anteaters,Irvine ,CA,92697-5125,College,33.6508,-117.826,4
 Anarchs Quidditch,anarchs,Topeka,KS,66607,Adult Community,39.0421,-95.6449,3
 Alfred University Saxons,alfred-saxons,Alfred,NY,14802,College,42.2552,-77.793,1
